Word,Count
b'i',37577
b'the',36720
b'movie',30416
b'not',29749
b'one',28280
b'film',27519
b'it',27144
b'this',24816
b'like',23148
b'just',20969
b'good',18941
b'time',17279
b'even',16704
b'see',16235
b'no',16205
b'can',15550
b'really',15038
b'well',14978
b'story',14791
b'and',14596
b'much',14060
b'get',13332
b'also',12735
b'first',12591
b'great',12553
"b""don't""",12511
b'will',12450
b'made',12398
b'but',12254
b'in',12235
b'make',12216
b'people',12131
b'a',11864
b'way',11807
b'bad',11744
b'watch',10899
b'think',10761
b'movies',10710
b'seen',10674
b'acting',10668
b'there',10294
b'characters',10141
b'many',10131
b'never',9990
b'plot',9917
b'two',9756
b'if',9741
b'ever',9670
b'know',9670
b'best',9649
"b""it's""",9527
b'little',9418
b'off',9264
b'character',9248
b'better',9244
b'films',9124
b'all',9083
b'life',8953
b'end',8885
b'love',8859
b'say',8692
b'still',8609
b'that',8420
b'something',8137
b'go',8121
b'scenes',7877
b'scene',7718
b'you',7700
b'back',7634
b'man',7609
b'watching',7603
b'thing',7479
b'now',7417
b'real',7341
b'actors',7165
b'another',7123
b'years',7069
"b""doesn't""",7068
b'he',7054
b'as',7032
b'though',6995
b'makes',6990
"b""i'm""",6986
"b""didn't""",6904
b'so',6898
b'work',6864
b'actually',6853
b'look',6834
b'find',6791
b'nothing',6759
b'going',6747
b'10',6720
b'is',6684
b'old',6679
b'director',6662
b'show',6648
b'lot',6561
b'every',6560
b'funny',6361
b'part',6272
b'cast',6233
b'what',6184
b'want',6131
b'new',6120
"b""can't""",6017
b'on',5998
b'things',5971
b'take',5967
b'around',5947
b'give',5933
b'quite',5918
b'thought',5870
b'got',5866
b'long',5819
b'fact',5779
b'enough',5776
b'however',5764
b'pretty',5749
b'seems',5710
b'to',5708
b'for',5704
b'must',5600
b'big',5589
b'come',5541
b'without',5502
b'right',5482
b'times',5477
b'saw',5461
b'world',5417
b'us',5405
b'me',5399
b'they',5369
b'least',5331
b'almost',5309
b'may',5297
b'done',5266
b'young',5265
"b""i've""",5243
b'always',5235
b'whole',5224
b'interesting',5189
b'gets',5159
"b""isn't""",5150
b'point',5103
b'far',5094
b'anything',5035
b'bit',5020
b'of',5017
b'making',5001
b'script',4927
b'since',4921
b'feel',4887
b'role',4886
b'probably',4854
b'out',4836
b'last',4823
b'might',4802
b'away',4785
b'music',4765
b'minutes',4764
b'comedy',4696
b'sure',4674
b'hard',4662
b'anyone',4639
b'kind',4611
b'here',4575
b'2',4560
b'when',4559
b'yet',4539
b'found',4522
b'guy',4503
b'action',4498
b'up',4496
b'especially',4478
b'them',4467
b'original',4445
b'worst',4424
b'performance',4421
b'looking',4390
b'believe',4377
b'rather',4346
b'although',4331
b'day',4278
b'fun',4275
b'worth',4273
b'trying',4271
b'with',4266
b'screen',4252
b'put',4246
b'tv',4237
b'course',4226
b'played',4207
b'horror',4207
b'goes',4187
b'everything',4183
b'comes',4175
b'set',4140
b'place',4096
b'him',4065
b'my',4013
b'again',3998
b'watched',3992
b'maybe',3971
b'reason',3970
b'family',3966
b'sense',3939
b'at',3935
b'ending',3918
b'girl',3914
b'together',3872
b'main',3870
b'shows',3869
b'different',3867
b'true',3854
b'dvd',3854
b'woman',3837
b'looks',3836
b'instead',3833
b'series',3793
b'said',3791
b'takes',3787
b'someone',3785
"b""wasn't""",3779
b'actor',3763
b'seeing',3753
b'money',3752
b'job',3747
b'she',3744
b'her',3731
b'everyone',3730
b'seem',3728
b'three',3682
b'effects',3676
b'plays',3676
b'high',3669
b'left',3639
b'year',3617
b'later',3595
b'special',3578
b'too',3556
b'excellent',3548
b'else',3535
b'mind',3527
b'play',3524
b'beautiful',3514
b'1',3502
b'half',3500
b'idea',3493
b'audience',3459
b'then',3456
b'fan',3396
b'used',3389
b'american',3371
b'along',3369
b'night',3361
b'shot',3360
b'after',3358
b'second',3346
b'top',3326
b'less',3324
b'completely',3322
b'either',3315
b'simply',3296
b'we',3282
b'recommend',3265
b'nice',3264
b'try',3255
b'enjoy',3231
b'poor',3223
b'line',3210
b'help',3204
b'3',3192
b'rest',3178
b'short',3174
b'given',3160
b'use',3160
b'read',3147
b'need',3141
b'performances',3137
b'star',3131
b'or',3128
b'wrong',3121
b'full',3111
b'next',3086
b'budget',3081
b'do',3069
b'classic',3068
b'start',3066
b'john',3061
b'boring',3047
b'let',3043
b'home',3042
b'low',3040
b'truly',3039
b'came',3035
b'friends',3027
b'black',3026
b'death',3019
b'tell',3013
b'while',2984
b'who',2967
b'production',2961
b'over',2951
b'wife',2949
b'couple',2942
b'camera',2934
b'keep',2934
b'getting',2928
b'why',2925
b'understand',2890
b'awful',2873
b'dead',2864
b'his',2857
b'perhaps',2855
b'mean',2851
b'hollywood',2845
b'written',2843
b'moments',2836
b'others',2823
b'name',2815
b'definitely',2811
b'remember',2806
b'was',2802
b'some',2800
b'version',2790
b'playing',2789
b'small',2781
b'absolutely',2778
b'wonderful',2777
b'face',2775
b'stupid',2774
b'stars',2755
b'went',2754
"b""couldn't""",2750
b'gives',2745
b'house',2735
b'book',2727
b'often',2715
b'early',2713
b'piece',2711
b'men',2706
b'style',2704
b'lines',2700
b'terrible',2696
b'finally',2691
b'video',2679
b'overall',2674
b'entertaining',2672
b'case',2670
b'person',2669
b'head',2663
b'perfect',2659
b'certainly',2652
b'dialogue',2638
b'more',2626
b'hope',2619
b'called',2610
b'title',2604
b'be',2603
b'laugh',2601
b'become',2598
b'based',2595
b'school',2594
b'live',2589
b'yes',2579
b'worse',2575
b'liked',2559
b'beginning',2559
b'several',2554
b'entire',2541
b'sort',2538
b'loved',2536
b'waste',2533
b'lost',2533
b'human',2523
b'direction',2503
b'oh',2497
b'supposed',2492
b'kids',2490
b'father',2481
b'felt',2476
b'how',2468
b'throughout',2460
b'war',2457
b'which',2449
b'turn',2446
b'problem',2432
b'wanted',2432
b'sex',2424
b'guess',2424
b'already',2423
b'women',2420
b'picture',2417
b'unfortunately',2412
b'care',2404
b'4',2402
b'example',2399
b'friend',2395
b'totally',2394
b'from',2387
b'despite',2385
b'lead',2382
b'drama',2374
b'able',2358
b'5',2346
b'final',2338
b'lives',2325
b'boy',2325
b'quality',2324
b'fans',2324
b'days',2321
b'becomes',2301
b'cinema',2294
b'sound',2292
b'seemed',2290
b'writing',2254
b'close',2252
b'fine',2249
b'dark',2241
b'humor',2236
b'run',2231
b'works',2231
"b""won't""",2225
b'gave',2224
b'guys',2213
b'matter',2209
b'side',2209
b'directed',2203
b'enjoyed',2203
b'wants',2194
b'turns',2191
"b""i'd""",2184
b'heart',2182
b'mother',2179
b'flick',2179
"b""there's""",2171
b'behind',2168
b'amazing',2155
b'white',2154
b'tries',2150
b'thinking',2145
b'act',2139
b'history',2138
b'past',2133
b'parts',2133
b'other',2133
b'obviously',2131
b'expect',2128
b'late',2120
b'favorite',2117
b'highly',2110
b'anyway',2105
b'stuff',2100
b'horrible',2098
b'eyes',2088
b'brilliant',2085
b'hour',2074
b'hand',2066
b'except',2055
b'soon',2054
b'took',2051
b'heard',2049
b'b',2048
b'etc',2043
b'stop',2042
b'genre',2031
b'type',2029
b'coming',2028
b'starts',2026
b'evil',2023
b'viewer',2021
b'by',2019
b'known',2018
b'before',2009
b'kill',2005
b'actress',2003
b'decent',2001
b'happens',1998
b'experience',1986
b'children',1982
b'feeling',1979
b'sometimes',1978
b'about',1975
b'did',1970
b'leave',1964
b'self',1956
b'involved',1951
b'chance',1946
b'wonder',1935
b'art',1932
"b""wouldn't""",1929
b'slow',1921
b'extremely',1919
b'mr',1919
b'says',1918
b'told',1913
b'killed',1912
b'ago',1912
b'roles',1910
b'including',1905
b'very',1904
b'complete',1904
b'happen',1903
b'writer',1896
b'taken',1896
b'lack',1895
b'save',1893
b'obvious',1889
b'group',1887
